종목명,보유량,결제잔고,전일,금일,매입가,현재가,평가손익,수익률,매입금액,평가금액,종목번호,종목명,대출일,수익률
금호타이어,000000000420,000000000420,0,0,000000009012,000000006780,-00000947222,-25.02,000003785300,000002838078,'073240,금호타이어,,-00000250237
삼성엔지니어링,000000000012,000000000012,0,0,000000081100,000000018050,-00000757418,-77.83,000000973200,000000215782,'028050,삼성엔지니어링,,-00000778276
사파이어테크놀로지,000000000032,000000000032,0,0,000000031950,000000011000,-00000671656,-65.69,000001022400,000000350744,'123260,사파이어테크놀로지,,-00000656941
KT,000000000265,000000000265,0,0,000000030846,000000029000,-00000514674,-6.30,000008174250,000007659576,'030200,KT,,-00000062963
웅진씽크빅,000000000116,000000000116,0,0,000000013259,000000009150,-00000480284,-31.23,000001538120,000001057836,'095720,웅진씽크빅,,-00000312254
엑세스바이오,000000000305,000000000305,0,0,000000008934,000000007500,-00000445002,-16.33,000002724900,000002279898,'950130,엑세스바이오,,-00000163309
LG디스플레이,000000000105,000000000105,0,0,000000024550,000000021600,-00000317274,-12.31,000002577750,000002260476,'034220,LG디스플레이,,-00000123082
나노캠텍,000000000120,000000000120,0,0,000000004940,000000002440,-00000300998,-50.78,000000592800,000000291802,'091970,나노캠텍,,-00000507756
LS,000000000020,000000000020,0,0,000000048950,000000035700,-00000267382,-27.31,000000979000,000000711618,'006260,LS,,-00000273117
알티캐스트,000000000300,000000000300,0,0,000000006180,000000005330,-00000260297,-14.04,000001854000,000001593703,'085810,알티캐스트,,-00000140398
휴비스,000000000110,000000000110,0,0,000000009596,000000008050,-00000173051,-16.39,000001055615,000000882564,'079980,휴비스,,-00000163934
DSR,000000000200,000000000200,0,0,000000004370,000000003655,-00000145422,-16.64,000000874000,000000728578,'155660,DSR,,-00000166387
신송홀딩스,000000000200,000000000200,0,0,000000009500,000000008900,-00000125880,-6.63,000001900000,000001774120,'006880,신송홀딩스,,-00000066253
아진엑스텍,000000000200,000000000200,0,0,000000005640,000000005070,-00000117352,-10.40,000001128000,000001010648,'059120,아진엑스텍,,-00000104035
LS산전,000000000018,000000000018,0,0,000000051700,000000047600,-00000076620,-8.23,000000930600,000000853980,'010120,LS산전,,-00000082334
포메탈,000000000201,000000000201,0,0,000000002809,000000002670,-00000029843,-5.28,000000564743,000000534900,'119500,포메탈,,-00000052844
KCC건설,000000000007,000000000007,0,0,000000011522,000000007430,-00000028814,-35.72,000000080658,000000051844,'021320,KCC건설,,-00000357237
스카이라이프,000000000050,000000000050,0,0,000000020047,000000019550,-00000028092,-2.80,000001002370,000000974278,'053210,스카이라이프,,-00000028026
대우인터내셔널,000000000015,000000000015,0,0,000000021250,000000019500,-00000027206,-8.54,000000318750,000000291544,'047050,대우인터내셔널,,-00000085352
롯데쇼핑,000000000001,000000000001,0,0,000000246500,000000220500,-00000026720,-10.84,000000246500,000000219780,'023530,롯데쇼핑,,-00000108398
세호로보트,000000000010,000000000010,0,0,000000010350,000000008210,-00000021666,-20.93,000000103500,000000081834,'158310,세호로보트,,-00000209333
이녹스,000000000051,000000000051,0,0,000000012350,000000012000,-00000019866,-3.15,000000629850,000000609984,'088390,이녹스,,-00000031541
현대중공업,000000000002,000000000002,0,0,000000104500,000000096200,-00000017226,-8.24,000000209000,000000191774,'009540,현대중공업,,-00000082421
OCI,000000000004,000000000004,0,0,000000082300,000000078900,-00000014626,-4.44,000000329200,000000314574,'010060,OCI,,-00000044429
참엔지니어링,000000000010,000000000010,0,0,000000001932,000000001430,-00000005067,-26.22,000000019325,000000014258,'009310,참엔지니어링,,-00000262199
코이즈,000000000001,000000000001,0,0,000000006951,000000003200,-00000003760,-54.09,000000006951,000000003191,'121850,코이즈,,-00000540929
제노포커스,000000000020,000000000020,0,0,000000021800,000000021750,-00000002425,-0.56,000000436000,000000433575,'187420,제노포커스,,-00000005562
이노와이어리스,000000000053,000000000053,0,0,000000010511,000000010500,-00000002421,-0.43,000000557092,000000554671,'073490,이노와이어리스,,-00000004346
신화인터텍,000000000001,000000000001,0,0,000000004165,000000002250,-00000001921,-46.12,000000004165,000000002244,'056700,신화인터텍,,-00000461224
서암기계공업,000000000002,000000000002,0,0,000000003199,000000003285,000000000153,2.39,000000006398,000000006551,'100660,서암기계공업,,000000023914
코텍,000000000001,000000000001,0,0,000000011997,000000012350,000000000316,2.63,000000011997,000000012313,'052330,코텍,,000000026340
흥아해운,000000000001,000000000001,0,0,000000001292,000000001720,000000000424,32.82,000000001292,000000001716,'003280,흥아해운,,000000328173
탑금속,000000000001,000000000001,0,0,000000003944,000000004385,000000000428,10.85,000000003944,000000004372,'019770,탑금속,,000000108519
오디텍,000000000001,000000000001,0,0,000000006960,000000007640,000000000658,9.45,000000006960,000000007618,'080520,오디텍,,000000094540
차이나하오란,000000000001,000000000001,0,0,000000001481,000000002170,000000000683,46.12,000000001481,000000002164,'900090,차이나하오란,,000000461175
이수페타시스,000000000001,000000000001,0,0,000000004216,000000004960,000000000730,17.32,000000004216,000000004946,'007660,이수페타시스,,000000173150
아시아나항공,000000000001,000000000001,0,0,000000003910,000000004725,000000000801,20.49,000000003910,000000004711,'020560,아시아나항공,,000000204859
사조씨푸드,000000000001,000000000001,0,0,000000005792,000000006660,000000000850,14.68,000000005792,000000006642,'014710,사조씨푸드,,000000146754
씨케이에이치,000000000001,000000000001,0,0,000000002425,000000003635,000000001200,49.48,000000002425,000000003625,'900120,씨케이에이치,,000000494845
동국S&C,000000000001,000000000001,0,0,000000002317,000000003610,000000001283,55.37,000000002317,000000003600,'100130,동국S&C,,000000553733
하이텍팜,000000000001,000000000001,0,0,000000013300,000000014700,000000001356,10.20,000000013300,000000014656,'106190,하이텍팜,,000000101955
아세아텍,000000000001,000000000001,0,0,000000001700,000000003125,000000001416,83.29,000000001700,000000003116,'050860,아세아텍,,000000832941
삼본정밀전자,000000000001,000000000001,0,0,000000006200,000000007900,000000001677,27.05,000000006200,000000007877,'111870,삼본정밀전자,,000000270484
KMH,000000000001,000000000001,0,0,000000007690,000000010050,000000002330,30.30,000000007690,000000010020,'122450,KMH,,000000302991
계양전기우,000000000001,000000000001,0,0,000000001509,000000003855,000000002336,154.80,000000001509,000000003845,'012205,계양전기우,,000001548045
LG상사,000000000001,000000000001,0,0,000000029150,000000032700,000000003452,11.84,000000029150,000000032602,'001120,LG상사,,000000118422
옵티시스,000000000010,000000000010,0,0,000000005743,000000006120,000000003587,6.25,000000057430,000000061017,'109080,옵티시스,,000000062459
제로투세븐,000000000005,000000000005,0,0,000000010448,000000011200,000000003589,6.87,000000052243,000000055832,'159580,제로투세븐,,000000068698
네오티스,000000000005,000000000005,0,0,000000004710,000000005470,000000003718,15.79,000000023550,000000027268,'085910,네오티스,,000000157877
셀루메드,000000000002,000000000002,0,0,000000002718,000000004600,000000003737,68.75,000000005436,000000009173,'049180,셀루메드,,000000687454
이크레더블,000000000001,000000000001,0,0,000000006554,000000010400,000000003815,58.21,000000006554,000000010369,'092130,이크레더블,,000000582087
와이엔텍,000000000010,000000000010,0,0,000000002628,000000003055,000000004176,15.89,000000026283,000000030459,'067900,와이엔텍,,000000158886
DSR제강,000000000010,000000000010,0,0,000000003395,000000003840,000000004336,12.77,000000033950,000000038286,'069730,DSR제강,,000000127717
이라이콤,000000000001,000000000001,0,0,000000013900,000000018650,000000004695,33.78,000000013900,000000018595,'041520,이라이콤,,000000337770
코메론,000000000001,000000000001,0,0,000000003311,000000008980,000000005643,170.43,000000003311,000000008954,'049430,코메론,,000001704319
엔케이,000000000002,000000000002,0,0,000000002919,000000005760,000000005648,96.75,000000005838,000000011486,'085310,엔케이,,000000967455
완리,000000000018,000000000018,0,0,000000002018,000000002360,000000006026,16.59,000000036327,000000042353,'900180,완리,,000000165882
이엔에프테크놀로지,000000000001,000000000001,0,0,000000008885,000000016200,000000007267,81.79,000000008885,000000016152,'102710,이엔에프테크놀로지,,000000817895
한솔테크닉스,000000000001,000000000001,0,0,000000016915,000000025200,000000008211,48.54,000000016915,000000025126,'004710,한솔테크닉스,,000000485427
넥센타이어,000000000010,000000000010,0,0,000000012604,000000013550,000000009018,7.15,000000126046,000000135064,'002350,넥센타이어,,000000071545
실리콘웍스,000000000001,000000000001,0,0,000000022157,000000031400,000000009149,41.29,000000022157,000000031306,'108320,실리콘웍스,,000000412917
리드코프,000000000001,000000000001,0,0,000000004325,000000014400,000000010032,231.95,000000004325,000000014357,'012700,리드코프,,000002319538
황금에스티,000000000010,000000000010,0,0,000000004140,000000005250,000000010944,26.43,000000041400,000000052344,'032560,황금에스티,,000000264348
아모텍,000000000001,000000000001,0,0,000000007840,000000019300,000000011403,145.45,000000007840,000000019243,'052710,아모텍,,000001454464
제닉,000000000001,000000000001,0,0,000000018750,000000033400,000000014550,77.60,000000018750,000000033300,'123330,제닉,,000000776000
후성,000000000010,000000000010,0,0,000000002622,000000004175,000000015400,58.72,000000026226,000000041626,'093370,후성,,000000587204
대덕GDS,000000000050,000000000050,0,0,000000008910,000000009260,000000015992,3.59,000000445500,000000461492,'004130,대덕GDS,,000000035897
POSCO,000000000004,000000000004,0,0,000000170000,000000175500,000000019694,2.90,000000680000,000000699694,'005490,POSCO,,000000028962
화진,000000000200,000000000200,0,0,000000004772,000000004930,000000028262,2.96,000000954500,000000982762,'134780,화진,,000000029609
KODEX 중국본토 A50,000000000005,000000000005,0,0,000000008140,000000014400,000000031288,76.87,000000040702,000000071990,'169950,KODEX 중국본토 A50,,000000768709
SK이노베이션,000000000001,000000000001,0,0,000000081122,000000114000,000000032516,40.08,000000081122,000000113638,'096770,SK이노베이션,,000000400828
현대위아,000000000001,000000000001,0,0,000000098400,000000131500,000000032686,33.22,000000098400,000000131086,'011210,현대위아,,000000332175
현대차,000000000001,000000000001,0,0,000000129643,000000163000,000000032839,25.33,000000129643,000000162482,'005380,현대차,,000000253303
코오롱인더,000000000010,000000000010,0,0,000000056200,000000061200,000000047994,8.54,000000562000,000000609994,'120110,코오롱인더,,000000085399
부국증권우,000000000020,000000000020,0,0,000000010850,000000016600,000000113934,52.50,000000217000,000000330934,'001275,부국증권우,,000000525041
알에프텍,000000000100,000000000100,0,0,000000006290,000000007590,000000127523,20.27,000000629000,000000756523,'061040,알에프텍,,000000202739
한국타이어,000000000020,000000000020,0,0,000000042300,000000050300,000000156712,18.52,000000846000,000001002712,'161390,한국타이어,,000000185239
NICE평가정보,000000000022,000000000022,0,0,000000002382,000000011050,000000189926,362.35,000000052415,000000242341,'030190,NICE평가정보,,000003623505
현대모비스,000000000007,000000000007,0,0,000000223500,000000253000,000000200698,12.83,000001564500,000001765198,'012330,현대모비스,,000000128283
빛샘전자,000000000822,000000000822,0,0,000000004513,000000004905,000000308265,8.31,000003710400,000004018665,'072950,빛샘전자,,000000083081
하림,000000000403,000000000403,0,0,000000004123,000000005270,000000455233,27.40,000001661656,000002116889,'136480,하림,,000000273963